app,store,author,rating,date,title,content,developerResponse,version,helpfulCount,voteCount,voteSum
Shopify POS,App Store,Matay123,1,2025-11-24T14:22:14-07:00,Don’t recommend,"I’ve had nothing but a bad experience with this app. It will not load up my products and also often doesn’t accept a payment from a customer. It’s a very unprofessional look for my small business, for this reason I have co tinted to rely on square and it has never let me down.",,10.15.1,,,
Shopify POS,App Store,Gherkin5,1,2025-10-01T22:36:44-07:00,Becomes less functional with every update,Please bring back the next button in the counting tool and “00” on the numberpad. The prompt to skip/print receipt is redundant - it makes the check out process even slower because you can’t open the register to give change before dismissing it.,,10.12.0,,,
Shopify POS,App Store,St&.?,1,2025-05-09T07:03:39-07:00,Wise pad 3 not connect iPhone,"Can not connect to my iPhone, wise pad 3, grey out said no WiFi which it is already on",,10.1.0,,,
Shopify POS,App Store,Marcsydney,1,2025-05-07T18:06:15-07:00,Still not listening to customers needs,"Despite multiple update, you are still not allowing merchants to apply a percentage fee to card payment. Fail fail fail!!!",,10.1.0,,,
Shopify POS,App Store,ruthhyyyy,2,2025-03-05T16:52:48-07:00,Constant errors,Keeps preventing me from printing receipts from pos.,,9.29.1,,,
Shopify POS,App Store,Top Reviewer 999,1,2024-04-22T19:35:59-07:00,It used to be better,"We got Shopify POS to use at Trade shows and it was great.  We signed up to a plan that allowed us to enter customer addresses and charge for shipping.  The change in Shopify plans means we now need to spend $2.3K a month to get the features in our old plan.  With out being able to add address the POS app is almost useless at trade shows.
We also found that we could email the cart to a customer as a quote.  We were using this feature regularly.  In a recent update this feature was removed, making the POS app totally useless now for small businesses.",,9.7.0,,,
Shopify POS,App Store,Nooshi8719,1,2023-09-29T19:00:58-07:00,Removing the price override functionality,"Why was this removed, it was such a useful tool. Now we must use the calculator manually and deduct which just takes twice as long, i do not understand why it was removed. To make way? To make way for what. Ridiculous update with low IQ developers and design.",,8.18.1,,,
Shopify POS,App Store,Dj4bc,1,2023-09-07T14:08:38-07:00,Printer Bug,"Since 8.16.2 my docket printers no longer print from any other software or devices. The POS app is trying to be helpful and auto detect printers, but it locks them out for other users. Very frustrating for my cafe which has had no dockets for a week!",,8.17.0,,,
Shopify POS,App Store,crtjm,1,2023-05-27T03:31:18-07:00,Updated tracking WTD/MTD,"The latest updates took away the drop-down option on POS to track ‘yesterday’, ‘week to date’, ‘month to date’ statistics and its near impossible to react to trade now!",,8.9.0,,,
Shopify POS,App Store,Araplam,1,2023-04-18T00:44:29-07:00,Updates are Frustrating,"The latest update is costing my business money!!!!!
As a subscriber of 2 locations per month this is not acceptable!
Whilst it may a good idea to add the Customer Name or phone number in prior to adding shipping address, this may be ok if the items are being delivered to the customer address, this is not ok in our situation as a florist.  99.9% of our customers have their order delivered to someone other than themselves.  I had called support and they have told me that I should use a dummy customer name. The problem is at the point when we enter the dummy customer name (which is each of our store’s name) we need to wait for at least 45 sec before the system picks up the name and then prepopulates with the details.  Then we have to delete the details prepopulated and add in the correct recipient and their address.

Our actual customers do not have time for us to “wait” each time and therefore, we have been forced to go back to hand writing the order on a form (going back to what we used to do prior to POS) and then go through the process of adding the sale and delivery information after we have finished with our customer.  This is all double handling and we are having to spend more money on wages!

Your system is not very obliging for the amount of money we are already spending.  We are coming up to Mother’s Day where we have many orders to upload over a period of at least 2 weeks.  We cannot afford to have out staff handwriting the order and then spending more time entering the order into the system - we have gone backwards!!!
Would love someone to contact me to discuss and have this fixed before the end of the month!!  Maria - 07 47716767 (Malpara Florist)",,8.7.0,,1,1
Shopify POS,App Store,Glen.s8,1,2023-04-16T16:58:54-07:00,Wisepad 3 and your updates have made it worse!!,"Ever since the new update my wisepad3 will no longer accept automatic touch and go payments. I have to now manually enter cards. It's very annoying! 

Plus not only that, for it to actually connect. I have to turn my phone off, then the wisepad on, then turn my phone back on for it to connect. 

Otherwise it has so many issues. I see a lot of people complaining about the exact same thing, so please focus on that before adding more features.",,8.6.1,,,
Shopify POS,App Store,WillD83,2,2022-10-28T05:56:50-07:00,Low grade POS riding on coat tails,"What integration?

Outside of the US this is a useless app!",,7.11.0,,,
Shopify POS,App Store,Luke Bald 1992,1,2022-08-08T21:59:09-07:00,WisePad3 is the most useless thing,"WisePad3 in Australia is the most useless device ever. I wish I never switched from Square but I have to deal with it now. We spend 20 mins per day trying to connect the device. I have 3 of them and Shopify has sent me a replacement one for one of them. Nothing has changed. If you want to pay your staff $30 per hour to connect this device every day, go for it.",,7.5.1,,,
Shopify POS,App Store,Runway 87,5,2022-05-30T19:26:47-07:00,Update causing issues,"I have just updated and since then my pos keeps locking up, needing to lodged in, won’t log in, and prints 3x receipts every time. I have done the adjustment’s suggested but we are still having issues",,7.0.2,,1,1
Shopify POS,App Store,Pat & Stu,1,2022-04-22T00:58:02-07:00,Won’t save PIN,"Can’t get past the set PIN page. Won’t save, so can’t use the app at all.",,6.79.1,,,
Shopify POS,App Store,adam hates shopify,1,2022-03-09T05:42:36-07:00,Useless and overpriced by far,Do not buy this,,6.79.0,,,
Shopify POS,App Store,iamtess,5,2021-11-29T00:16:49-07:00,So easy,This makes selling from anywhere possible. Easy to setup and use.,,6.69.0,,,
Shopify POS,App Store,StormageddonJess,1,2021-10-26T21:04:50-07:00,New update thumbs down,The new update leaves a little bit to be desired. Grid view of products is gone along with side scrolling through grid view. Cannot find a way to get it back.,,6.66.0,,,
Shopify POS,App Store,Jenjen77777777,2,2021-08-08T22:38:33-07:00,App does not support EPSON receipt printer,"Buyer beware! 

This app is good except, if you want to print reciepts, the EPSON model they have suggested DOES NOT CONNECT. 

No one will help but they are “very concerned” and “someone will email you” I don’t know when but it hasn’t happened yet",,6.54.0,,,
Shopify POS,App Store,Whereeaglesdare79,1,2021-07-20T22:35:51-07:00,Terrible Update,"The new layout is terrible, the functionality is gone, every process takes you to another screen. Was this made by someone who has never used a POS before? How do you go back to the old erosion without paying the ridiculous fees being charged. This is enough t make change from Shopify and I have been a customer for six years!",,6.52.0,,,
Shopify POS,App Store,Ipod dreams,1,2021-04-17T02:00:48-07:00,Not worth the cost on the pro plan,Run an Aussie business using Shopify. The pro pos plan is expensive to run in Australia. I will be switching to another product that has all the pos features a retail business need.,,6.40.0,,,
Shopify POS,App Store,My Giirlfriend and I,1,2021-03-31T16:03:39-07:00,POS,I WISH YOU WOULD LEAVE THE WAY THE SCREEN LOOKS NOT JUST CHANGE IT.     I HATE THIS !!!!!!!,,6.37.0,,,
Shopify POS,App Store,petertri,1,2021-02-26T16:53:16-07:00,Very expensive,"I used to love this app last year before there was a pro version for consideration. But now it just seems like a very very expensive POS app.  As many others have said prior, it’s extortion and I doubt that they will reduce the cost despite so many complaints. Fair is fair but I feel this is way overpriced. It really needs to be reduced by half at least....
Adding further insult, the latest update has made my app sooo slow too so I’ll be on the lookout for a new system, especially if this price stays the same.
You guys are a business and it’s fine to make a fair profit but you guys got really greedy.",,6.32.0,,,
Shopify POS,App Store,missgigiboutique,3,2021-01-31T22:20:23-07:00,Very expensive,Really like the POS and all linked to the website but so expensive. I’ve never used the old version so can’t compare. I think they need to look at the costs. I’m paying over $150 aud per month then get hit with international transaction fees from the bank.,,6.29.0,,2,1
Shopify POS,App Store,Macozarian,2,2021-01-28T17:44:50-07:00,Getting Greedy,"Agreed the changes to the pricing for POS is ridiculous and the other options available are looking much better again.

Can’t even add missing/new products directly from the POS app anymore either now. Costs more has less features 👎",,6.28.0,,,
Shopify POS,App Store,bobrob612,1,2021-01-11T20:32:16-07:00,Bring back the old,I used to love shopify and spoke highly of the software for quite some time. Unfortunately within the past year with major updates like the barcode printer and pos software has left me searching for a new system to use. The new register app doesn’t even tell you how much you’ve earned for the day.,,6.27.0,,,
Shopify POS,App Store,slotzcarz,1,2021-01-09T18:51:10-07:00,Shopify pos to slow,"To find your product, then try and enter it as a sale is too slow a process with the hardware compatible in Australia",,6.27.0,,,
Shopify POS,App Store,Bear1986,1,2020-12-03T15:13:51-07:00,Extortion,"I used to love shopify. Over time I’ve realised I’ve invested so much time in to this system that I’ve made myself vulnerable to their ad-hoc changes and price hikes. You cannot trust that the features you have today will be there tomorrow. Or, if the features you need will be moved beyond a paywall that is more than 100% higher than your current costs. Basically, you can’t trust them to have your back. 

Don’t get this point of sale program if you’re a new business, small business, or start-up. Don’t get this system ESPECIALLY if you’re a single store brick-and-mortar. The basic features you need are not there (being able to save a cart or make an exchange). The basic features are behind the much more expensive tier of pricing. 

Shopify leave out key functions and then advise you to purchase (subscribe) to third party apps to bring those functions in. So, the actual cost of a working system is FAR HIGHER THAN YOU THINK. 

Just, don’t do it.",,6.26.2,,,
Shopify POS,App Store,shop agent,1,2020-11-29T22:47:43-07:00,Bad ratings,"Their new version is hopeless,makes everything more complicated 
Takes forever to find a product. Massive mistake to launch this useless product.",,6.26.2,,,
Shopify POS,App Store,ckcybkt,2,2020-11-25T19:33:15-07:00,What a rip off this is now. So unhappy,"Massivley disappointed in this new upgrade. Unless we fork put a small fortune each month x several locations, all the features we had previously have now been removed. We already pay a lot of money to shopify and now on top of that they want USD $90 per month, per location, to access the features we’ve already had for years? So unimpressed. Now is not the time to be doing something like this to merchants that were relying on the POS to keep our businesses running! The layout is also awful. Big thumbs DOWN from us!
And in response to the comment left by Shopify, I think you guys are seriously out of touch with your customers. This basic LITE version doesn’t even have an ability to exchange?! For an instore POS system, you have to go through a crazy process of doing a refund, emailing the customer a gift card, waiting till that comes through on their phone (if they have it with them), using the gift card to credit the balance. Have you ever experienced that process yourselves in store as either a retailer or a consumer? It’s insane. 
Thank you for the suggestion of contacting your support. I did that, and then waited 9 days for a response. If I could give this review negative stars I would do so!",,6.26.2,,1,1
Shopify POS,App Store,My Eyez are bleeding,1,2020-11-25T15:03:51-07:00,New pricing model is extortion,"The switch to the new pricing model for POS Pro/Lite is an absolute ripoff.

Essential features that were present in the previous (free) POS are suddenly placed behind a forced upgrade and a steep paywall, right in the middle of some of the most challenging economic conditions we’ve ever seen.

You are effectively holding small businesses hostage with this change and we will be reporting this to the ACCC.

You should be ashamed of yourselves.",,6.26.2,,,
Shopify POS,App Store,kids streetwear,1,2020-11-20T17:00:59-07:00,Very disappointing,We have been using POS for years and now to access the same features we had you want us to pay $90 usd per location per month! Which is Absolutely crazy. Just add the ability to exchange items in the lite option would be helpful.,,6.26.2,,,
Shopify POS,App Store,natkarl,1,2020-11-17T00:05:36-07:00,ISSUES WITH NEW POS LITE ..not happy at all,"New POS LITE
- can’t save multiple customer cart anymore 
- can’t do a quick exchange for customer in our shop .. coming in to busy time instore and ridiculous to only have refund option now as we only exchange 
- can’t do layby 
- already pay enough each month to then lose features we are use to and have to pay lots of $$$ 
Time to look elsewhere to get what I need for my small business unless we get the features back
YOU CHARGED US FOR POS PRO !!! 😡 AND WE ONLY HAVE AND USE THE NEW AND AWFUL POS LITE as we can’t afford to pay you anymore than we already do 
FIX IT URGENTLY",,6.26.1,,,
