title,rating,date,author,content,developerResponse,version,voteCount,voteSum
"Don't recommend",1,2025-11-24T14:22:14-07:00,Matay123,"I've had nothing but a bad experience with this app. It will not load up my products and also often doesn't accept a payment from a customer. It's a very unprofessional look for my small business, for this reason I have co tinted to rely on square and it has never let me down.",,10.15.1,0,0
"Becomes less functional with every update",1,2025-10-01T22:36:44-07:00,Gherkin5,"Please bring back the next button in the counting tool and ""00"" on the numberpad. The prompt to skip/print receipt is redundant - it makes the check out process even slower because you can't open the register to give change before dismissing it.",,10.12.0,0,0
"Wise pad 3 not connect iPhone",1,2025-05-09T07:03:39-07:00,St&.?,"Can not connect to my iPhone, wise pad 3, grey out said no WiFi which it is already on",,10.1.0,0,0
"Still not listening to customers needs",1,2025-05-07T18:06:15-07:00,Marcsydney,"Despite multiple update, you are still not allowing merchants to apply a percentage fee to card payment. Fail fail fail!!!",,10.1.0,0,0
"Constant errors",2,2025-03-05T16:52:48-07:00,ruthhyyyy,"Keeps preventing me from printing receipts from pos.",,9.29.1,0,0
"It used to be better",1,2024-04-22T19:35:59-07:00,Top Reviewer 999,"We got Shopify POS to use at Trade shows and it was great.  We signed up to a plan that allowed us to enter customer addresses and charge for shipping.  The change in Shopify plans means we now need to spend $2.3K a month to get the features in our old plan.  With out being able to add address the POS app is almost useless at trade shows.
We also found that we could email the cart to a customer as a quote.  We were using this feature regularly.  In a recent update this feature was removed, making the POS app totally useless now for small businesses.",,9.7.0,0,0
"Removing the price override functionality",1,2023-09-29T19:00:58-07:00,Nooshi8719,"Why was this removed, it was such a useful tool. Now we must use the calculator manually and deduct which just takes twice as long, i do not understand why it was removed. To make way? To make way for what. Ridiculous update with low IQ developers and design.",,8.18.1,0,0
"Printer Bug",1,2023-09-07T14:08:38-07:00,Dj4bc,"Since 8.16.2 my docket printers no longer print from any other software or devices. The POS app is trying to be helpful and auto detect printers, but it locks them out for other users. Very frustrating for my cafe which has had no dockets for a week!",,8.17.0,0,0
"Updated tracking WTD/MTD",1,2023-05-27T03:31:18-07:00,crtjm,"The latest updates took away the drop-down option on POS to track 'yesterday', 'week to date', 'month to date' statistics and its near impossible to react to trade now!",,8.9.0,0,0
"Updates are Frustrating",1,2023-04-18T00:44:29-07:00,Araplam,"The latest update is costing my business money!!!!!
As a subscriber of 2 locations per month this is not acceptable!
Whilst it may a good idea to add the Customer Name or phone number in prior to adding shipping address, this may be ok if the items are being delivered to the customer address, this is not ok in our situation as a florist.  99.9% of our customers have their order delivered to someone other than themselves.  I had called support and they have told me that I should use a dummy customer name. The problem is at the point when we enter the dummy customer name (which is each of our store's name) we need to wait for at least 45 sec before the system picks up the name and then prepopulates with the details.  Then we have to delete the details prepopulated and add in the correct recipient and their address.

Our actual customers do not have time for us to ""wait"" each time and therefore, we have been forced to go back to hand writing the order on a form (going back to what we used to do prior to POS) and then go through the process of adding the sale and delivery information after we have finished with our customer.  This is all double handling and we are having to spend more money on wages!

Your system is not very obliging for the amount of money we are already spending.  We are coming up to Mother's Day where we have many orders to upload over a period of at least 2 weeks.  We cannot afford to have out staff handwriting the order and then spending more time entering the order into the system - we have gone backwards!!!
Would love someone to contact me to discuss and have this fixed before the end of the month!!  Maria - 07 47716767 (Malpara Florist)",,8.7.0,1,1
"Wisepad 3 and your updates have made it worse!!",1,2023-04-16T16:58:54-07:00,Glen.s8,"Ever since the new update my wisepad3 will no longer accept automatic touch and go payments. I have to now manually enter cards. It's very annoying! 

Plus not only that, for it to actually connect. I have to turn my phone off, then the wisepad on, then turn my phone back on for it to connect. 

Otherwise it has so many issues. I see a lot of people complaining about the exact same thing, so please focus on that before adding more features.",,8.6.1,0,0
