app,store,author,rating,date,title,content,developerResponse,version,helpfulCount,voteCount,voteSum
Square POS,App Store,Pnwgal318,3,2026-02-23T16:00:29-07:00,Poor Customer service,"The app itself is ok, not the best layout. I’ve had to use the how to forms and google to set up much of my dashboard because of the lack of intuitiveness in the site. I have been trying to get what should be a pretty simple issue on the IT side fixed but have been transferred 3 times to “specialist customer support teams.” It has waisted over 30 minutes of my time.",,6.96,,,
Square POS,App Store,Miljan.,1,2026-02-23T14:17:23-07:00,Account verification,"This is the most ridiculous experience to verify one account.
My money its being stuck in app for more then a month, and customer service its the worst on helping and fixing solution.",,6.94.1,,,
Square POS,App Store,TsigieReda,5,2026-02-21T10:53:04-07:00,Great,It’s very convenient and efficient for my lively hood. Thanks.,,6.94.1,,,
Square POS,App Store,Codmann,1,2026-02-20T09:42:31-07:00,Can’t get my money,Did a job and get get my money out of the app. Cant get a real person on tech support.,,6.94.1,,,
Square POS,App Store,Missy785,5,2026-02-19T10:49:45-07:00,Square,I love using square for my small business,,6.94.1,,,
Square POS,App Store,Wolflmt,2,2026-02-19T08:35:38-07:00,Not very small businesses friendly,"When I first started using Square years ago, like when they first started, they were designed for the small mom and pop one or two people or even the gig type worker and over the years they improved and offered with those type of businesses needed. They don’t do that anymore. Now they’re jacking up prices wanting and at times requiring you to get their plans that offer a ton of features that very small businesses and gig workers cannot use. Do not need but they still have to pay for.. now they used to offer somewhat of a à la carte type thing where you can mix and match stuff, but that stuff was even more expensive. Basically square is now for the medium to large businesses and it’s not small mom and pop in gig business friendly at all",,6.94,,,
Square POS,App Store,Anonymous719,5,2026-02-18T09:15:35-07:00,Square,I am a new business operator and the ease to explore business related products is unmatched!,,6.94,,,
Square POS,App Store,gxgdccg,1,2026-02-17T14:16:49-07:00,Square is the Worst point of sale,They don’t have anyone When something is in tribal,,6.94,,,
Square POS,App Store,YoungJayRock,4,2026-02-17T03:48:12-07:00,Great app except one issue,It’s a great app with virtually no problems except the tap to pay doesn’t connect it usually fails for some reason even if I restart my phone or close the app.,,6.92.3,,,
Square POS,App Store,prodagii0,1,2026-02-16T12:58:02-07:00,Trash,They wait till i take a payment to try to close my account and steal my money,,6.92.3,,,
Square POS,App Store,Laforge7804,5,2026-02-15T21:46:33-07:00,Dark Mode,Can you please add dark mode for a feature setting for all square modes and devices please!!!,,6.92.3,,,
Square POS,App Store,XxMoNsTrScOpXx,1,2026-02-15T08:43:45-07:00,"Zero Transparency, Zero Support","Square deactivated my account without giving me a clear reason and refuses to explain why. I originally created the account back in late 2023 but didn’t fully set it up for my business until January 2026. Shortly after creating it, March of 2024 I received an email saying my account was reviewed and permanently deactivated due to “activity that our platform is unable to support” — yet I had barely even started using it besides giving a business name and ordering a debit card and linking the banking to my bank for transfers.

I called customer service and used live chat, and both representatives told me there was nothing they could do and wouldn’t tell me what triggered the deactivation. No transparency, no explanation, no real support.

For a company handling business payments, this lack of communication is unacceptable. Businesses deserve clear answers, especially when accounts are shut down. I can’t recommend Square based on this experience.

Edit:
now I can no longer access the account as a whole as the entire account got deactivated, I try to sign up it tells me there’s already an account associated with the email I try to sign in and it doesn’t let me.",,6.92.3,,,
Square POS,App Store,waynetoosaucey,1,2026-02-15T07:02:06-07:00,Adjustments Errors,"Amy money I receive or deposit is taken away by a random “adjustment” the square support team said they don’t understand it , nor can they control it. Its a scam",,6.92.3,,,
Square POS,App Store,Rossylulu,5,2026-02-14T16:21:21-07:00,Great app,I have square for almost 10 years and I love it so much and it is the best app I’ve ever used in my business,,6.92.3,,,
Square POS,App Store,Pastor BenC,5,2026-02-14T09:07:43-07:00,I couldn’t do business without it.,Almost all of my business requires deposits and remote prepayment. Square allows me to invoice and send everything my customers need. It is easy to use and I have had zero issues with the app or the help services.,,6.92.3,,,
